Pressure (MPa),Temperature (°C),Specific volume v (m³/kg),Internal energy u (kJ/kg),Enthalpy h (kJ/kg),Entropy s (kJ/kg·K)
P,T,v,u,h,s
5,800,0.09811,3646.6,4137.1,7.744
5,900,0.10762,3840.7,4378.8,7.9593
5,1000,0.11707,4040.4,4625.7,8.1612
5,1100,0.12648,4245.6,4878,8.352
5,1200,0.13587,4456.3,5135.7,8.5331
5,1300,0.14526,4672,5398.2,8.705
6,257.64,0.03244,2589.7,2784.3,5.8892
6,300,0.03616,2667.2,2884.2,6.0674
6,350,0.04223,2789.6,3043,6.3335
6,400,0.04739,2892.9,3177.2,6.5408
6,450,0.05214,2988.9,3301.8,6.7193
6,500,0.05665,3082.2,3422.2,6.8803
6,550,0.06101,3174.6,3540.6,7.0288
6,600,0.06525,3266.9,3658.4,7.1677
6,700,0.07352,3453.1,3894.2,7.4234
6,800,0.0816,3643.1,4132.7,7.6566
6,900,0.08958,3837.8,4375.3,7.8727
6,1000,0.09749,4037.8,4622.7,8.0751
6,1100,0.10536,4243.3,4875.4,8.2661
6,1200,0.11321,4454,5133.3,8.4474
6,1300,0.12106,4669.6,5396,8.6199
7,285.88,0.02737,2580.5,2772.1,5.8133
7,300,0.02947,2632.2,2838.4,5.9305
7,350,0.03524,2769.4,3016,6.2283
7,400,0.03993,2878.6,3158.1,6.4478
7,450,0.04416,2978,3287.1,6.6327
7,500,0.04814,3073.4,3410.3,6.7975
7,550,0.05195,3167.2,3530.9,6.9486
7,600,0.05565,3260.7,3650.3,7.0894
7,700,0.06283,3448.5,3888.3,7.3476
7,800,0.06981,3639.5,4128.2,7.5822
7,900,0.07669,3835,4371.8,7.7991
7,1000,0.0835,4035.3,4619.8,8.002
7,1100,0.09027,4240.9,4872.8,8.1933
7,1200,0.09703,4451.7,5130.9,8.3747
7,1300,0.10377,4667.3,5393.7,8.5475
8,295.06,0.02352,2569.8,2758,5.7432
8,300,0.02426,2590.9,2785,5.7906
8,350,0.02995,2747.7,2987.3,6.1301
8,400,0.03432,2863.8,3138.3,6.3634
8,450,0.03817,2966.7,3272,6.5551
8,500,0.04175,3064.3,3398.3,6.724
8,550,0.04516,3159.8,3521,6.8778
8,600,0.04845,3254.4,3642,7.0206
8,700,0.05481,3443.9,3882.4,7.2812
